test_p141_.png: psnr=20.266496993611348 ssim=0.7494265335092708 uiqm=0.12612460655094326 uciqe=28.63939943553739
test_p142_.png: psnr=16.538165938621923 ssim=0.6699326967506503 uiqm=0.5420366422947726 uciqe=24.733804107146412
test_p143_.png: psnr=19.66727311337297 ssim=0.8334674834253387 uiqm=0.43358583314589694 uciqe=19.08529906173569
test_p144_.png: psnr=21.20452221673514 ssim=0.844805060152292 uiqm=1.095248503640817 uciqe=28.62251203590535
test_p145_.png: psnr=18.149056888327394 ssim=0.6973460388221927 uiqm=0.7308281821299338 uciqe=26.46772443272282
test_p146_.png: psnr=26.79354285512067 ssim=0.8957725167643472 uiqm=0.3588327721213196 uciqe=28.58230350774006
test_p147_.png: psnr=20.34328665721094 ssim=0.8842068089773486 uiqm=-0.1552374367429612 uciqe=25.652938341749906
test_p148_.png: psnr=19.823017978397107 ssim=0.7393994815477433 uiqm=0.7390368022496444 uciqe=28.390256055985244
test_p149_.png: psnr=21.11935419559185 ssim=0.7661308476078816 uiqm=0.5966095140062555 uciqe=23.825835417047006
test_p150_.png: psnr=17.977907512366183 ssim=0.7812639963824388 uiqm=0.47115939963215225 uciqe=27.030636362427366
test_p153_.png: psnr=16.06550768518612 ssim=0.685583809090176 uiqm=0.261077446026849 uciqe=22.24318399222215
test_p154_.png: psnr=24.042469253487543 ssim=0.7887779106907843 uiqm=0.462369233386964 uciqe=30.60099263672953
test_p156_.png: psnr=19.986155137145907 ssim=0.7041786502448963 uiqm=0.5145082230647715 uciqe=26.053557400197107
test_p157_.png: psnr=23.607348937279706 ssim=0.7519259588072607 uiqm=0.8151604134966879 uciqe=27.442099012773074
test_p158_.png: psnr=24.800655663160768 ssim=0.9501526517874818 uiqm=1.394743964191263 uciqe=26.819241291170965
test_p159_.png: psnr=25.487553380356957 ssim=0.6730842529905363 uiqm=0.18640535664525004 uciqe=30.344748398424425
test_p161_.png: psnr=27.807779824039397 ssim=0.9015392556296233 uiqm=0.46270493218414477 uciqe=23.5613221243583
test_p162_.png: psnr=22.621822710926473 ssim=0.8990957156827873 uiqm=-0.03710543797454424 uciqe=28.65570595671963
test_p164_.png: psnr=23.701020731792948 ssim=0.8646526768780847 uiqm=0.6913895748035642 uciqe=27.09183822193046
test_p165_.png: psnr=26.635477551444176 ssim=0.9304223583542295 uiqm=0.6410124375731514 uciqe=22.742024696765338
test_p166_.png: psnr=20.88057430187758 ssim=0.8146524382133314 uiqm=0.7285660243362857 uciqe=27.8561020223229
test_p167_.png: psnr=18.40678478923375 ssim=0.7638457747563158 uiqm=0.7322838033223918 uciqe=25.566981462483415
test_p168_.png: psnr=20.94551008387331 ssim=0.8894016663331566 uiqm=0.36957669011934846 uciqe=21.5643364405066
test_p169_.png: psnr=22.071777675817174 ssim=0.6809101890820491 uiqm=0.6501405225058523 uciqe=31.82766580982017
test_p171_.png: psnr=27.995646224000538 ssim=0.8961021870651704 uiqm=0.5792183056056347 uciqe=32.7371370356992
test_p172_.png: psnr=23.48954145070865 ssim=0.9311371477337912 uiqm=1.1991537968749841 uciqe=26.089202752373094
test_p173_.png: psnr=20.615933220335965 ssim=0.811910455981956 uiqm=0.8949838680473962 uciqe=30.156006079778205
test_p174_.png: psnr=20.144677887524985 ssim=0.8705267694153758 uiqm=0.8788230413055246 uciqe=24.70943526366595
test_p175_.png: psnr=18.892515341922717 ssim=0.8155788458405849 uiqm=0.8194080576973938 uciqe=24.553991962576596
test_p176_.png: psnr=23.303861740936046 ssim=0.8543846934602985 uiqm=0.5013987855555309 uciqe=27.894001168531112
test_p178_.png: psnr=19.085812462030255 ssim=0.7250075706414711 uiqm=0.7293775408138696 uciqe=27.8775053978502
test_p179_.png: psnr=17.196322440972562 ssim=0.7904436657944599 uiqm=-0.08079220281931321 uciqe=22.727701076927136
